phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי קידושין,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי ראש השנה,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שביעית,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי שבת,no,,
REAL,ORPHAN,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות,no,,
REAL,DELETE,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות_links.json,שערי תורת ארץ ישראל על תלמוד ירושלמי תרומות,no,,
REAL,ORPHAN,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן,no,,
REAL,DELETE,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן_links.json,שערי תורת בבל על אבות דרבי נתן,no,,
REAL,ORPHAN,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא,no,,
REAL,DELETE,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא_links.json,שערי תורת בבל על בבא בתרא,no,,
REAL,ORPHAN,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא_links.json,שערי תורת בבל על בבא מציעא,no,,
