phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
DRYRUN,ORPHAN,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים_links.json,שערי תורת בבל על זבחים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה_links.json,שערי תורת בבל על חגיגה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין_links.json,שערי תורת בבל על חולין,no,,
DRYRUN,ORPHAN,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות_links.json,שערי תורת בבל על יבמות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא_links.json,שערי תורת בבל על יומא,no,,
DRYRUN,ORPHAN,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות_links.json,שערי תורת בבל על כריתות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות_links.json,שערי תורת בבל על כתובות,no,,
